Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
Little Women (1994),"Drama, Family, Romance",The March sisters live and grow in post-Civil War America.
To Catch a Thief (1955),"Mystery, Romance, Thriller",A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.
Chasing Liberty (2004),"Comedy, Romance",Anna wants to be like other girls her age (18): date a guy etc. but she's the US president's daughter and always guarded. In Prague he breaks his promise of only 2 agents following her to a concert and she runs away with Ben to see Europe.
Takkar (2023),"Action, Drama, Romance","A young and dynamic boy has the urge to mint money meets a girl, who believes Money is the cause of all distress to life. How does their life transform together?"
Fallo! (2003),"Drama, Romance","Tinto Brass - The maestro of Italian erotica is back! Lies, subterfuge, betrayal and mischief - FALLO! is a collection of six stories based on the joys of sexuality and the eroticism of a new generation of women."
The Time Traveler's Wife (2009),"Comedy, Drama, Fantasy","A Chicago librarian has a gene that causes him to involuntarily time travel, creating complications in his marriage."
Deuce Bigalow: Male Gigolo (1999),"Comedy, Romance","An average aquarium cleaner house-sits for a gigolo, only to be forced to become one himself."
Anthropoid (2016),"Action, Biography, Drama","Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler."
Back to School (1986),"Comedy, Romance, Sport","To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself."
Flushed Away (2006),"Animation, Action, Adventure","The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life."
Dangerous Liaisons (1988),"Drama, Romance",A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.
27 Dresses (2008),"Comedy, Romance","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with."
Road to Zanzibar (1941),"Adventure, Comedy, Musical","Stranded in Africa, Chuck and his pal Fearless have comic versions of jungle adventures, featuring two attractive con-women."
In & Out (1997),"Comedy, Romance",A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.
Muzi v nadeji (2011),"Comedy, Drama, Romance","When a father teaches his son in-law about the perks of cheating, things take unexpected turns..."
Before We Go (I) (2014),"Comedy, Drama, Romance",Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.
Return to the Blue Lagoon (1991),"Adventure, Drama, Romance","In this sequel toThe Blue Lagoon(1980), two children are stranded on a beautiful island in the South Pacific. With no adults to guide them, the two make a simple life together and eventually become suntanned teenagers in love."
Sydney White (2007),"Comedy, Drama, Romance",A modern retelling of Snow White set against students in their freshman year of college in the greek system.
The Duchess (2008),"Biography, Drama, History","A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life."
Love in the Villa (2022),"Comedy, Romance","A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man."
Sous emprise (2022),"Drama, Romance, Sport",Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.
One Crazy Summer (1986),"Comedy, Romance",An aspiring teenage cartoonist and his friends come to the aid of a singer trying to save her family property from developers.
Roman Holiday (1953),"Comedy, Romance",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
Rebecca (1940),"Drama, Film-Noir, Mystery",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
Out of the Blue (II) (2022),"Crime, Drama, Mystery","Connor, a man whose dull life is transformed into a thrilling fantasy world thanks to the seductive Marilyn."
Color of Night (1994),"Drama, Mystery, Romance","A color-blind psychoanalyst is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that he begins having intense sexual encounters with."
Last Christmas (2019),"Comedy, Drama, Fantasy","Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true."
A Ghost Story (2017),"Drama, Fantasy, Romance","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife."
Secret of the Blue Room (1933),"Crime, Drama, Horror","Twenty years after 3 murders occur in a castle's ""blue room"", three men who each want to marry a beautiful girl decide to spend a night in the room to prove their bravery to her."
Fiddler on the Roof (1971),"Drama, Family, Musical","In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
Footloose (2011),"Comedy, Drama, Music","City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
Une zone à défendre (2023),"Drama, Romance, Thriller","Follows Myriam, an eco-activist who is fighting against the construction of a dam in a forest, and Greg, a police officer who goes undercover to gather intelligence on this movement of protesters."
Maid in Manhattan (2002),"Comedy, Drama, Romance","A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress."
Cinderella Man (2005),"Biography, Drama, Romance","The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
The Deep Blue Sea (2011),"Drama, Romance",The wife of a British Judge is caught in a self-destructive love affair with a Royal Air Force pilot.
The Casino Murder Case (1935),"Crime, Music, Mystery","After socialite Lynn Llewellyn receives an anonymous threat, he is poisoned at his uncle's casino, and although he recovers, his wife is murdered by the same killer."
Doctor Zhivago (1965),"Drama, Romance, War","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
